,ean,ctr
0,05909990244713,0
1,05909990893423,0
2,05909990893386,0
3,05909990285518,0
4,05909990285419,0
5,05909991370916,0
6,05909991370954,0
7,05909990109920,0
8,05909990110018,0
9,05909990055715,0
10,05909991413590,0
11,05909991413675,0
12,05909991413736,0
13,05909991049515,0
14,05909991052218,0
15,05909990835782,0
16,05909990840014,0
17,05909990840113,0
18,05909990840229,0
19,05909990072156,0
20,05909990623112,0
21,05909990737673,0
22,05909991081713,0
23,05909991087418,0
24,05909991087425,0
25,05909991032517,0
26,05909990109319,0
27,05909990109210,0
28,05909991227272,0
29,05909991227319,0
30,05909991203924,0
31,05909990414741,0
32,05909991314675,0
33,05909990798223,0
34,05909991325794,0
35,05909991325770,0
36,05909990023813,0
38,05909990244317,0
40,05909990244416,0
42,05909990694327,0
44,05909991210328,0
46,05909991229610,0
48,05909990694426,0
50,05909990425693,0
52,05909990425754,0
54,05909990425709,0
56,05909990425730,0
58,05909990425747,0
60,05909991228392,0
61,05909991103163,0
62,05909990975730,0
63,05909990975747,0
64,05909990948994,0
65,05909990907755,0
66,05909990907731,0
67,05909990907786,0
68,05909990907762,0
69,05909990697021,0
70,05909990854462,0
71,05909990696925,0
72,05909991069711,0
73,05909991388768,0
74,05901720140494,0
75,05909991387266,0
76,09008732009293,0
77,05995327174952,0
78,03838989699352,0
79,05909991419172,0
80,05909991391423,0
81,05909990001118,0
82,05909990746576,0
83,05909991291945,0
84,05909990619580,0
85,05909990812714,0
86,05909991288457,0
87,05909991392055,0
88,05909990837816,0
89,05909990109418,0
90,05909991316228,0
91,05907626706529,0
92,05907626706505,0
93,05907626706628,0
94,05907626706604,0
95,05909990163212,0
96,05909990414819,0
97,05909990320912,0
98,05909990206025,0
99,05909990373819,0
100,05909990086818,0
101,05909991412876,0
102,05909991412883,0
103,05909991412906,0
104,05909990762965,0
105,05909990762972,0
106,05909990762996,0
107,05909990762880,0
108,05909991348557,0
109,05909991348649,0
110,05909990840816,0
111,05909990840915,0
112,05909991466114,0
