,lp,substancja_czynna,nazwa,postac,dawka,zawartosc_opakowania,ean,grupa_limitowana,cena_hurtowa,cena_detaliczna,wysokosc_limitu,zakres_wskazan,poziom_odplatnosci,wysokosc_doplaty
0,1,8-Methoxypsoralenum,Oxsoralen, kaps. miękkie, 10 mg,50 szt. (5 blist.po 10 szt.),5909990244713,"52.0, Leki przeciwłuszczycowe do stosowania ogólnego - psoraleny - metoksalen",1338,1756,1756,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,30%,527
1,2,Acarbosum,Adeksa, tabl., 100 mg,30 szt.,5909990893423,"17.0, Doustne leki przeciwcukrzycowe - inhibitory alfaglukozydazy - akarboza",1394,1823,1823,Cukrzyca,30%,547
2,3,Acarbosum,Adeksa, tabl., 50 mg,30 szt.,5909990893386,"17.0, Doustne leki przeciwcukrzycowe - inhibitory alfaglukozydazy - akarboza",782,1041,912,Cukrzyca,30%,403
3,4,Acarbosum,Glucobay 100, tabl., 100 mg,30 szt. (2 blist.po 15 szt.),5909990285518,"17.0, Doustne leki przeciwcukrzycowe - inhibitory alfaglukozydazy - akarboza",1394,1823,1823,Cukrzyca,30%,547
4,5,Acarbosum,Glucobay 50, tabl., 50 mg,30 szt. (2 blist.po 15 szt.),5909990285419,"17.0, Doustne leki przeciwcukrzycowe - inhibitory alfaglukozydazy - akarboza",782,1041,912,Cukrzyca,30%,403
5,6,Acarbosum,Glucobay 50, tabl., 50 mg,90 szt. (6 blist.po 15 szt.),5909990335541,"17.0, Doustne leki przeciwcukrzycowe - inhibitory alfaglukozydazy - akarboza",2348,2912,2735,Cukrzyca,30%,998
6,7,Acebutololi hydrochloridum,Acebutolol Aurovitas, tabl. powl., 200 mg,30 szt.,5909991370916,"40.0, Leki beta-adrenolityczne - selektywne - do stosowania doustnego",649,834,594,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,ryczałt,560
7,8,Acebutololi hydrochloridum,Acebutolol Aurovitas, tabl. powl., 400 mg,30 szt.,5909991370954,"40.0, Leki beta-adrenolityczne - selektywne - do stosowania doustnego",1300,1627,1189,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,ryczałt,758
8,9,Acebutololum,Sectral 200, tabl. powl., 200 mg,30 szt.,5909990109920,"40.0, Leki beta-adrenolityczne - selektywne - do stosowania doustnego",930,1115,594,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,ryczałt,841
9,10,Acebutololum,Sectral 400, tabl. powl., 400 mg,30 szt.,5909990110018,"40.0, Leki beta-adrenolityczne - selektywne - do stosowania doustnego",1735,2061,1189,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,ryczałt,1192
10,11,Acenocoumarolum,Acenocumarol WZF, tabl., 4 mg,60 szt.,5909990055715,"21.0, Leki przeciwzakrzepowe z grupy antagonistów witaminy K",874,1186,1186,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,ryczałt,512
11,12,Aciclovirum,Hascovir, tabl., 200 mg,30 szt. (2 blist.po 15 szt.),5909991049515,"115.2, Leki przeciwwirusowe - acyklowir - postacie do stosowania doustnego",1021,1375,1235,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,50%,758
12,13,Aciclovirum,Hascovir, tabl., 400 mg,30 szt. (2 blist.po 15 szt.),5909991052218,"115.2, Leki przeciwwirusowe - acyklowir - postacie do stosowania doustnego",1701,2257,2257,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,50%,1129
13,14,Aciclovirum,Hascovir, tabl., 800 mg,30 szt.,5909990835782,"115.2, Leki przeciwwirusowe - acyklowir - postacie do stosowania doustnego",3402,4260,4260,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,50%,2130
14,15,Aciclovirum,Heviran, tabl. powl., 200 mg,30 szt. (3 blist.po 10 szt.),5909990840014,"115.2, Leki przeciwwirusowe - acyklowir - postacie do stosowania doustnego",1210,1564,1235,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,50%,947
15,16,Aciclovirum,Heviran, tabl. powl., 400 mg,30 szt. (3 blist.po 10 szt.),5909990840113,"115.2, Leki przeciwwirusowe - acyklowir - postacie do stosowania doustnego",2208,2764,2470,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,50%,1529
16,17,Aciclovirum,Heviran, tabl. powl., 800 mg,30 szt. (3 blist.po 10 szt.),5909990840229,"115.2, Leki przeciwwirusowe - acyklowir - postacie do stosowania doustnego",4081,4939,4939,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,50%,2470
17,18,Acidum alendronicum,Alendran 70, tabl., 70 mg,4 szt. (1 blist.po 4 szt.),5909990072156,"147.0, Leki stosowane w chorobach kości - bisfosfoniany doustne - kwas alendronowy i ryzendronowy",880,1193,1190,Osteoporoza,30%,360
18,19,Acidum alendronicum,Alendrogen, tabl., 70 mg,4 szt.,5909990623112,"147.0, Leki stosowane w chorobach kości - bisfosfoniany doustne - kwas alendronowy i ryzendronowy",692,1005,1005,Osteoporoza,30%,302
19,20,Acidum alendronicum,Alendronat Bluefish, tabl., 70 mg,4 szt.,5909990737673,"147.0, Leki stosowane w chorobach kości - bisfosfoniany doustne - kwas alendronowy i ryzendronowy",567,880,880,Osteoporoza,30%,264
20,21,Acidum alendronicum,Alendronic Acid Genoptim, tabl., 70 mg,4 szt. (1 blist.po 4 szt.),5909990675302,"147.0, Leki stosowane w chorobach kości - bisfosfoniany doustne - kwas alendronowy i ryzendronowy",624,937,937,Osteoporoza,30%,281
21,22,Acidum alendronicum,Ostemax 70 comfort, tabl., 70 mg,4 szt. (1 blist.po 4 szt.),5909991081713,"147.0, Leki stosowane w chorobach kości - bisfosfoniany doustne - kwas alendronowy i ryzendronowy",888,1201,1190,Osteoporoza,30%,368
22,23,Acidum alendronicum,Ostenil 70, tabl., 70 mg,4 szt. (1 blist.po 4 szt.),5909991087418,"147.0, Leki stosowane w chorobach kości - bisfosfoniany doustne - kwas alendronowy i ryzendronowy",902,1215,1190,Osteoporoza,30%,382
