,lp,substancja_czynna,nazwa,postac,dawka,zawartosc_opakowania,ean,grupa_limitowana,cena_hurtowa,cena_detaliczna,wysokosc_limitu,zakres_wskazan,poziom_odplatnosci,wysokosc_doplaty
0,1,8-Methoxypsoralenum,Oxsoralen, kaps. miękkie, 10 mg,50 szt. (5 blist.po 10 szt.),5909990244713,"52.0, Leki przeciwłuszczycowe do stosowania ogólnego - psoraleny - metoksalen","13,38","17,56","17,56",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,30%,"5,27"
1,2,Acarbosum,Adeksa, tabl., 100 mg,30 szt.,5909990893423,"17.0, Doustne leki przeciwcukrzycowe - inhibitory alfaglukozydazy - akarboza","13,94","18,23","18,23",Cukrzyca,30%,"5,47"
2,3,Acarbosum,Adeksa, tabl., 50 mg,30 szt.,5909990893386,"17.0, Doustne leki przeciwcukrzycowe - inhibitory alfaglukozydazy - akarboza","7,82","10,41","9,12",Cukrzyca,30%,"4,03"
3,4,Acarbosum,Glucobay 100, tabl., 100 mg,30 szt. (2 blist.po 15 szt.),5909990285518,"17.0, Doustne leki przeciwcukrzycowe - inhibitory alfaglukozydazy - akarboza","13,94","18,23","18,23",Cukrzyca,30%,"5,47"
4,5,Acarbosum,Glucobay 50, tabl., 50 mg,30 szt. (2 blist.po 15 szt.),5909990285419,"17.0, Doustne leki przeciwcukrzycowe - inhibitory alfaglukozydazy - akarboza","7,82","10,41","9,12",Cukrzyca,30%,"4,03"
5,6,Acarbosum,Glucobay 50, tabl., 50 mg,90 szt. (6 blist.po 15 szt.),5909990335541,"17.0, Doustne leki przeciwcukrzycowe - inhibitory alfaglukozydazy - akarboza","23,48","29,12","27,35",Cukrzyca,30%,"9,98"
6,7,Acebutololi hydrochloridum,Acebutolol Aurovitas, tabl. powl., 200 mg,30 szt.,5909991370916,"40.0, Leki beta-adrenolityczne - selektywne - do stosowania doustnego","6,49","8,34","5,94",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,ryczałt,"5,60"
7,8,Acebutololi hydrochloridum,Acebutolol Aurovitas, tabl. powl., 400 mg,30 szt.,5909991370954,"40.0, Leki beta-adrenolityczne - selektywne - do stosowania doustnego","13,00","16,27","11,89",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,ryczałt,"7,58"
8,9,Acebutololum,Sectral 200, tabl. powl., 200 mg,30 szt.,5909990109920,"40.0, Leki beta-adrenolityczne - selektywne - do stosowania doustnego","9,30","11,15","5,94",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,ryczałt,"8,41"
9,10,Acebutololum,Sectral 400, tabl. powl., 400 mg,30 szt.,5909990110018,"40.0, Leki beta-adrenolityczne - selektywne - do stosowania doustnego","17,35","20,61","11,89",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,ryczałt,"11,92"
10,11,Acenocoumarolum,Acenocumarol WZF, tabl., 4 mg,60 szt.,5909990055715,"21.0, Leki przeciwzakrzepowe z grupy antagonistów witaminy K","8,74","11,86","11,86",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,ryczałt,"5,12"
11,12,Aciclovirum,Hascovir, tabl., 200 mg,30 szt. (2 blist.po 15 szt.),5909991049515,"115.2, Leki przeciwwirusowe - acyklowir - postacie do stosowania doustnego","10,21","13,75","12,35",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,50%,"7,58"
12,13,Aciclovirum,Hascovir, tabl., 400 mg,30 szt. (2 blist.po 15 szt.),5909991052218,"115.2, Leki przeciwwirusowe - acyklowir - postacie do stosowania doustnego","17,01","22,57","22,57",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,50%,"11,29"
13,14,Aciclovirum,Hascovir, tabl., 800 mg,30 szt.,5909990835782,"115.2, Leki przeciwwirusowe - acyklowir - postacie do stosowania doustnego","34,02","42,60","42,60",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,50%,"21,30"
14,15,Aciclovirum,Heviran, tabl. powl., 200 mg,30 szt. (3 blist.po 10 szt.),5909990840014,"115.2, Leki przeciwwirusowe - acyklowir - postacie do stosowania doustnego","12,10","15,64","12,35",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,50%,"9,47"
15,16,Aciclovirum,Heviran, tabl. powl., 400 mg,30 szt. (3 blist.po 10 szt.),5909990840113,"115.2, Leki przeciwwirusowe - acyklowir - postacie do stosowania doustnego","22,08","27,64","24,70",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,50%,"15,29"
16,17,Aciclovirum,Heviran, tabl. powl., 800 mg,30 szt. (3 blist.po 10 szt.),5909990840229,"115.2, Leki przeciwwirusowe - acyklowir - postacie do stosowania doustnego","40,81","49,39","49,39",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,50%,"24,70"
17,18,Acidum alendronicum,Alendran 70, tabl., 70 mg,4 szt. (1 blist.po 4 szt.),5909990072156,"147.0, Leki stosowane w chorobach kości - bisfosfoniany doustne - kwas alendronowy i ryzendronowy","8,80","11,93","11,90",Osteoporoza,30%,"3,60"
18,19,Acidum alendronicum,Alendrogen, tabl., 70 mg,4 szt.,5909990623112,"147.0, Leki stosowane w chorobach kości - bisfosfoniany doustne - kwas alendronowy i ryzendronowy","6,92","10,05","10,05",Osteoporoza,30%,"3,02"
19,20,Acidum alendronicum,Alendronat Bluefish, tabl., 70 mg,4 szt.,5909990737673,"147.0, Leki stosowane w chorobach kości - bisfosfoniany doustne - kwas alendronowy i ryzendronowy","5,67","8,80","8,80",Osteoporoza,30%,"2,64"
20,21,Acidum alendronicum,Alendronic Acid Genoptim, tabl., 70 mg,4 szt. (1 blist.po 4 szt.),5909990675302,"147.0, Leki stosowane w chorobach kości - bisfosfoniany doustne - kwas alendronowy i ryzendronowy","6,24","9,37","9,37",Osteoporoza,30%,"2,81"
21,22,Acidum alendronicum,Ostemax 70 comfort, tabl., 70 mg,4 szt. (1 blist.po 4 szt.),5909991081713,"147.0, Leki stosowane w chorobach kości - bisfosfoniany doustne - kwas alendronowy i ryzendronowy","8,88","12,01","11,90",Osteoporoza,30%,"3,68"
